"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1965","Census Tract 701902","171","Census Tract 572301","6/1/2018 - 8/31/2018, Every day, Daily Average",2470,1640,3718
"1965","Census Tract 701902","172","Census Tract 980002","6/1/2018 - 8/31/2018, Every day, Daily Average",2422,1596,3674
"1965","Census Tract 701902","175","Census Tract 554512","6/1/2018 - 8/31/2018, Every day, Daily Average",3457,2391,4996
"1965","Census Tract 701902","177","Census Tract 554514","6/1/2018 - 8/31/2018, Every day, Daily Average",3394,2334,4934
"1965","Census Tract 701902","180","Census Tract 554517","6/1/2018 - 8/31/2018, Every day, Daily Average",3504,2417,5078
"1965","Census Tract 701902","181","Census Tract 554518","6/1/2018 - 8/31/2018, Every day, Daily Average",3514,2430,5081
"1965","Census Tract 701902","183","Census Tract 554521","6/1/2018 - 8/31/2018, Every day, Daily Average",3237,2209,4743
"1965","Census Tract 701902","184","Census Tract 554522","6/1/2018 - 8/31/2018, Every day, Daily Average",3121,2164,4499
"1965","Census Tract 701902","186","Census Tract 532302","6/1/2018 - 8/31/2018, Every day, Daily Average",2203,1475,3289
"1965","Census Tract 701902","187","Census Tract 532303","6/1/2018 - 8/31/2018, Every day, Daily Average",2349,1576,3499
"1965","Census Tract 701902","188","Census Tract 532304","6/1/2018 - 8/31/2018, Every day, Daily Average",2275,1605,3223
"1965","Census Tract 701902","192","Census Tract 541200","6/1/2018 - 8/31/2018, Every day, Daily Average",2955,1911,4568
"1965","Census Tract 701902","204","Census Tract 542106","6/1/2018 - 8/31/2018, Every day, Daily Average",2603,1793,3778
"1965","Census Tract 701902","205","Census Tract 542200","6/1/2018 - 8/31/2018, Every day, Daily Average",2676,1832,3908
"1965","Census Tract 701902","207","Census Tract 542402","6/1/2018 - 8/31/2018, Every day, Daily Average",3439,2328,5078
"1965","Census Tract 701902","218","Census Tract 543202","6/1/2018 - 8/31/2018, Every day, Daily Average",3108,2128,4538
"1965","Census Tract 701902","219","Census Tract 543305","6/1/2018 - 8/31/2018, Every day, Daily Average",3207,2196,4682
"1965","Census Tract 701902","220","Census Tract 543321","6/1/2018 - 8/31/2018, Every day, Daily Average",3067,2079,4523
"1965","Census Tract 701902","238","Census Tract 533806","6/1/2018 - 8/31/2018, Every day, Daily Average",2929,2004,4278
"1965","Census Tract 701902","245","Census Tract 702400","6/1/2018 - 8/31/2018, Every day, Daily Average",1328,793,2223
"1965","Census Tract 701902","246","Census Tract 702501","6/1/2018 - 8/31/2018, Every day, Daily Average",1434,907,2265
"1965","Census Tract 701902","247","Census Tract 702502","6/1/2018 - 8/31/2018, Every day, Daily Average",1685,1073,2646
"1965","Census Tract 701902","248","Census Tract 702600","6/1/2018 - 8/31/2018, Every day, Daily Average",936,570,1536
"1965","Census Tract 701902","249","Census Tract 702700","6/1/2018 - 8/31/2018, Every day, Daily Average",1362,817,2268
"1965","Census Tract 701902","250","Census Tract 702801","6/1/2018 - 8/31/2018, Every day, Daily Average",1261,766,2073
"1965","Census Tract 701902","251","Census Tract 702802","6/1/2018 - 8/31/2018, Every day, Daily Average",748,469,1190
"1965","Census Tract 701902","252","Census Tract 702803","6/1/2018 - 8/31/2018, Every day, Daily Average",1220,842,1767
"1965","Census Tract 701902","253","Census Tract 703001","6/1/2018 - 8/31/2018, Every day, Daily Average",1038,632,1703
"1965","Census Tract 701902","254","Census Tract 403303","6/1/2018 - 8/31/2018, Every day, Daily Average",3336,2375,4684
"1965","Census Tract 701902","257","Census Tract 403312","6/1/2018 - 8/31/2018, Every day, Daily Average",3446,2443,4859
"1965","Census Tract 701902","258","Census Tract 403322","6/1/2018 - 8/31/2018, Every day, Daily Average",3407,2436,4763
"1965","Census Tract 701902","259","Census Tract 403323","6/1/2018 - 8/31/2018, Every day, Daily Average",3378,2446,4664
"1965","Census Tract 701902","263","Census Tract 550300","6/1/2018 - 8/31/2018, Every day, Daily Average",2564,1855,3543
"1965","Census Tract 701902","264","Census Tract 550400","6/1/2018 - 8/31/2018, Every day, Daily Average",2613,1857,3675
"1965","Census Tract 701902","265","Census Tract 550500","6/1/2018 - 8/31/2018, Every day, Daily Average",2441,1746,3410
"1965","Census Tract 701902","266","Census Tract 550601","6/1/2018 - 8/31/2018, Every day, Daily Average",2369,1684,3332
"1965","Census Tract 701902","268","Census Tract 550700","6/1/2018 - 8/31/2018, Every day, Daily Average",2323,1655,3260
"1965","Census Tract 701902","283","Census Tract 551700","6/1/2018 - 8/31/2018, Every day, Daily Average",2753,1796,4218
"1965","Census Tract 701902","284","Census Tract 551800","6/1/2018 - 8/31/2018, Every day, Daily Average",2827,1861,4294
"1965","Census Tract 701902","285","Census Tract 553400","6/1/2018 - 8/31/2018, Every day, Daily Average",2704,1780,4106
"1965","Census Tract 701902","300","Census Tract 432700","6/1/2018 - 8/31/2018, Every day, Daily Average",2870,1939,4245
"1965","Census Tract 701902","302","Census Tract 432802","6/1/2018 - 8/31/2018, Every day, Daily Average",2875,2107,3921
"1965","Census Tract 701902","304","Census Tract 433101","6/1/2018 - 8/31/2018, Every day, Daily Average",2821,1917,4151
"1965","Census Tract 701902","306","Census Tract 433200","6/1/2018 - 8/31/2018, Every day, Daily Average",2873,1972,4185
"1965","Census Tract 701902","307","Census Tract 433302","6/1/2018 - 8/31/2018, Every day, Daily Average",2952,2041,4268
"1965","Census Tract 701902","308","Census Tract 433304","6/1/2018 - 8/31/2018, Every day, Daily Average",2959,2013,4349
"1965","Census Tract 701902","309","Census Tract 433305","6/1/2018 - 8/31/2018, Every day, Daily Average",3034,2065,4455
"1965","Census Tract 701902","311","Census Tract 433307","6/1/2018 - 8/31/2018, Every day, Daily Average",3262,2181,4878
"1965","Census Tract 701902","314","Census Tract 433403","6/1/2018 - 8/31/2018, Every day, Daily Average",2891,2002,4172
"1965","Census Tract 701902","321","Census Tract 620001","6/1/2018 - 8/31/2018, Every day, Daily Average",2007,1384,2909
"1965","Census Tract 701902","322","Census Tract 620002","6/1/2018 - 8/31/2018, Every day, Daily Average",2115,1479,3022
"1965","Census Tract 701902","323","Census Tract 620101","6/1/2018 - 8/31/2018, Every day, Daily Average",2113,1515,2946
"1965","Census Tract 701902","324","Census Tract 620102","6/1/2018 - 8/31/2018, Every day, Daily Average",2109,1515,2934
"1965","Census Tract 701902","325","Census Tract 980013","6/1/2018 - 8/31/2018, Every day, Daily Average",1865,1186,2931
"1965","Census Tract 701902","326","Census Tract 980030","6/1/2018 - 8/31/2018, Every day, Daily Average",2092,1487,2941
"1965","Census Tract 701902","328","Census Tract 602600","6/1/2018 - 8/31/2018, Every day, Daily Average",2554,1630,3999
"1965","Census Tract 701902","329","Census Tract 602900","6/1/2018 - 8/31/2018, Every day, Daily Average",2780,1757,4397
"1965","Census Tract 701902","330","Census Tract 603001","6/1/2018 - 8/31/2018, Every day, Daily Average",3068,1960,4801
"1965","Census Tract 701902","332","Census Tract 603005","6/1/2018 - 8/31/2018, Every day, Daily Average",2899,1817,4624
"1965","Census Tract 701902","335","Census Tract 603102","6/1/2018 - 8/31/2018, Every day, Daily Average",3485,2410,5038
"1965","Census Tract 701902","336","Census Tract 603200","6/1/2018 - 8/31/2018, Every day, Daily Average",3291,2173,4982
"1965","Census Tract 701902","337","Census Tract 603301","6/1/2018 - 8/31/2018, Every day, Daily Average",2326,1625,3328
"1965","Census Tract 701902","338","Census Tract 603302","6/1/2018 - 8/31/2018, Every day, Daily Average",3496,2304,5303
"1965","Census Tract 701902","339","Census Tract 603400","6/1/2018 - 8/31/2018, Every day, Daily Average",2799,1814,4317
"1965","Census Tract 701902","340","Census Tract 603500","6/1/2018 - 8/31/2018, Every day, Daily Average",2831,1884,4253
"1965","Census Tract 701902","341","Census Tract 603600","6/1/2018 - 8/31/2018, Every day, Daily Average",2609,1707,3986
"1965","Census Tract 701902","347","Census Tract 300702","6/1/2018 - 8/31/2018, Every day, Daily Average",2573,1236,5352
"1965","Census Tract 701902","348","Census Tract 300800","6/1/2018 - 8/31/2018, Every day, Daily Average",2683,1844,3902
"1965","Census Tract 701902","349","Census Tract 300901","6/1/2018 - 8/31/2018, Every day, Daily Average",2702,1802,4050
